Img Precsion Recall Total_Number F_score
bike 0.892388 0.923913 381 0.907877
boat 0.784314 0.535714 153 0.636605
building_rotation 0.969267 0.985577 423 0.977354
building_viewpoint 0.992991 0.958286 856 0.975330
drawer 0.384615 0.046296 13 0.082645
dunster 0.688172 0.419672 186 0.521385
leuven 0.953642 1.061425 453 1.004651
lowTexture 0.894737 0.557377 38 0.686869
occlusion 0.929825 0.522167 114 0.668770
outdoor_light 0.983402 1.000000 241 0.991632
outdoor_rotation 0.974138 0.982609 348 0.978355
shop_scale 1.000000 0.861111 62 0.925373
textureless_corridor 0.864865 0.524590 37 0.653061
ubc 0.887218 0.893939 399 0.890566
valbone 0.768786 0.645631 173 0.701847
zubud 0.361446 0.141509 166 0.203390
zubud2 0.680328 0.517134 244 0.587611
zubud3 0.746154 0.718519 260 0.732075
zubud4 0.658080 0.713198 427 0.684531
zubud5 0.865169 0.887608 356 0.876245
zubud6 0.715931 0.601613 521 0.653812
